1	29
1	31
1	10
1	18
1	26
1	40
1	3
2	15
2	39
2	14
3	29
3	49
3	31
3	10
3	1
3	18
3	26
3	40
4	29
4	53
4	35
4	38
4	20
5	44
5	36
5	19
5	33
7	26
7	17
7	12
7	52
7	9
8	29
8	49
8	24
8	25
8	26
8	46
8	3
8	22
8	28
9	7
9	26
9	17
9	12
9	52
10	29
10	49
10	1
10	55
10	18
10	26
10	40
10	3
10	21
11	49
12	26
12	17
12	3
12	52
12	9
14	29
14	15
14	2
14	26
14	40
14	39
15	2
15	1
15	26
15	40
15	3
15	39
15	14
16	31
16	23
16	26
17	7
17	44
17	26
17	52
18	29
18	10
18	1
18	40
18	3
19	44
19	34
19	5
20	29
20	1
20	4
20	45
20	35
20	38
21	49
21	7
21	10
21	45
21	27
21	25
21	26
22	45
22	26
22	8
23	16
23	31
23	26
24	49
24	1
24	25
24	26
24	46
24	8
24	28
25	24
25	46
25	8
25	28
26	10
26	24
26	27
27	7
27	26
27	22
28	24
28	25
28	26
28	46
28	8
29	10
29	44
29	36
29	18
29	26
29	40
29	3
29	38
29	20
31	16
31	7
31	1
31	23
31	26
31	46
31	3
32	56
32	34
32	26
32	37
32	48
33	1
33	44
33	24
33	5
33	36
33	26
34	56
34	32
34	37
34	48
35	4
35	26
35	38
35	20
36	29
36	44
36	5
36	26
36	33
37	56
37	34
37	32
37	48
38	29
38	49
38	31
38	10
38	4
38	35
38	26
38	20
39	15
39	2
39	25
39	14
40	29
40	10
40	1
40	18
40	26
40	3
44	29
44	5
44	36
44	17
44	33
45	49
45	22
45	21
46	49
46	7
46	31
46	10
46	1
46	24
46	27
46	25
46	26
46	8
46	28
48	34
48	32
48	26
48	37
49	7
49	45
49	26
50	49
52	7
52	26
52	17
52	12
52	9
53	49
53	1
53	46
53	22
54	10
54	30
54	53
55	10
56	34
56	32
56	37
56	48

